ID,WijkenEnBuurten,AantalInwoners_5,,
8,WK000300,12110,,
40,WK000500,10460,,
80,WK000700,4110,,
120,WK000701,1040,,
140,WK000702,4120,,
184,WK000900,5990,,
212,WK000901,1450,,
244,WK001000,18040,,
272,WK001001,770,,
296,WK001002,3920,,
328,WK001003,4010,,
364,WK001400,16720,,
388,WK001401,23120,,
420,WK001402,22950,,
456,WK001403,16590,,
476,WK001404,10700,,
500,WK001405,7950,,
532,WK001406,23320,,
576,WK001407,15200,,
608,WK001408,15090,,
644,WK001409,32590,,
688,WK001500,5300,,
720,WK001501,1210,,
732,WK001502,2870,,
752,WK001503,2810,,
772,WK001700,16790,,
800,WK001701,1840,,
840,WK001801,6400,,
872,WK001802,12340,,
916,WK001803,2990,,
944,WK001805,920,,
956,WK001806,1710,,
984,WK001807,1000,,
996,WK001808,870,,
1016,WK001809,30,,
1024,WK001811,8290,,
1068,WK002200,10250,,
1096,WK002201,2890,,
1128,WK002202,4660,,
1144,WK002204,420,,
1160,WK002205,190,,
1172,WK002206,660,,
1184,WK002207,370,,
1200,WK002400,3880,,
1232,WK002401,1710,,
1252,WK002402,2720,,
1276,WK002403,2230,,
1312,WK002500,8020,,
1352,WK002501,2300,,
1384,WK003401,22390,,
1448,WK003402,107120,,
1552,WK003403,54510,,
1624,WK003404,380,,
1668,WK003405,1350,,
1688,WK003406,10,,
1700,WK003701,20060,,
1764,WK003702,7570,,
1784,WK003703,2980,,
1804,WK003704,1560,,
1824,WK003705,1260,,
1840,WK003900,6600,,
1868,WK003901,1600,,
1884,WK003902,630,,
1908,WK003903,3940,,
1944,WK003904,1470,,
1964,WK004000,4720,,
2004,WK004001,2230,,
2028,WK004002,3940,,
2056,WK004003,4080,,
2084,WK004004,630,,
2100,WK004700,20190,,
2136,WK004701,2180,,
2156,WK004702,5630,,
2184,WK004800,1930,,
2212,WK004801,2650,,
2240,WK004802,1200,,
2272,WK004803,750,,
2292,WK004804,8570,,
2344,WK004805,330,,
2356,WK004806,840,,
2380,WK005000,20770,,
2428,WK005100,12970,,
2472,WK005101,2620,,
2496,WK005102,1390,,
2532,WK005103,2420,,
2568,WK005104,4320,,
2608,WK005105,490,,
2624,WK005106,2940,,
2672,WK005200,18320,,
2720,WK005300,7680,,
2748,WK005301,1650,,
2768,WK005302,2830,,
2796,WK005303,1930,,
2820,WK005500,19310,,
2900,WK005600,9150,,
2932,WK005601,4030,,
2956,WK005602,2300,,
2984,WK005603,3000,,
3008,WK005800,12970,,
3056,WK005801,1760,,
3096,WK005802,1430,,
3120,WK005803,1750,,
3152,WK005804,1210,,
3172,WK005805,2420,,
3224,WK005806,2350,,
3260,WK005807,730,,
3292,WK005900,12200,,
3336,WK005901,3400,,
3364,WK005902,12540,,
3404,WK006000,3470,,
3440,WK006300,7290,,
3476,WK006301,1760,,
3504,WK006302,1840,,
3520,WK006400,9820,,
3552,WK007000,9500,,
3596,WK007001,2510,,
3632,WK007002,1010,,
3664,WK007003,2070,,
3692,WK007004,2180,,
3720,WK007005,3310,,
3744,WK007200,14500,,
3788,WK007201,680,,
3800,WK007202,510,,
3816,WK007401,30760,,
3932,WK007402,1360,,
3964,WK007403,850,,
3984,WK007404,3370,,
4028,WK007405,1550,,
4036,WK007406,800,,
4052,WK007407,640,,
4060,WK007408,290,,
4068,WK007409,360,,
4076,WK007410,160,,
4084,WK007411,820,,
4092,WK007412,1040,,
4100,WK007413,440,,
4108,WK007414,720,,
4116,WK007415,180,,
4128,WK007900,5670,,
4140,WK007901,1790,,
4180,WK007902,1810,,
4204,WK007903,3780,,
4228,WK008010,4430,,
4276,WK008020,2360,,
4292,WK008021,6750,,
4308,WK008022,3110,,
4328,WK008023,700,,
4352,WK008024,160,,
4360,WK008030,3260,,
4376,WK008031,4330,,
4400,WK008032,4660,,
4420,WK008033,1600,,
4432,WK008034,1850,,
4440,WK008035,2140,,
4452,WK008036,11130,,
4468,WK008037,110,,
4480,WK008038,80,,
4488,WK008040,2410,,
4496,WK008041,930,,
4504,WK008042,560,,
4512,WK008043,2500,,
4540,WK008044,6900,,
4568,WK008045,6760,,
4584,WK008046,3690,,
4592,WK008050,5790,,
4624,WK008051,1240,,
4656,WK008052,590,,
4668,WK008053,2600,,
4700,WK008054,170,,
4728,WK008060,100,,
4760,WK008061,3920,,
4780,WK008062,3240,,
4792,WK008063,1430,,
4804,WK008064,3980,,
4820,WK008065,40,,
4840,WK008100,8460,,
4872,WK008101,1890,,
4904,WK008200,10080,,
4940,WK008201,3510,,
5088,WK008300,6240,,
5116,WK008301,2670,,
5148,WK008302,2620,,
5164,WK008303,2180,,
5192,WK008500,9960,,
5208,WK008501,2500,,
5228,WK008502,1980,,
5252,WK008503,1800,,
5272,WK008504,4090,,
5292,WK008505,5960,,
5328,WK008600,7330,,
5340,WK008601,3300,,
5368,WK008602,2760,,
5388,WK008603,5840,,
5428,WK008604,6570,,
5452,WK008605,3970,,
5480,WK008800,950,,
5496,WK009000,44460,,
5580,WK009001,10740,,
5640,WK009100,33260,,
5728,WK009300,2430,,
5740,WK009301,1280,,
5756,WK009302,290,,
5772,WK009303,140,,
5784,WK009304,490,,
5800,WK009305,120,,
5820,WK009600,1150,,
5836,WK009800,12580,,
5848,WK009801,1030,,
5892,WK009802,440,,
5912,WK009803,800,,
5940,WK009804,690,,
5964,WK009805,1570,,
5984,WK009806,1390,,
6012,WK009807,1740,,
6040,WK009808,5570,,
6068,WK010400,5170,,
6100,WK010401,3490,,
6124,WK010402,2300,,
6156,WK010600,5340,,
6248,WK010601,5710,,
6288,WK010602,8550,,
6332,WK010603,7880,,
6400,WK010604,3870,,
6420,WK010605,4210,,
6480,WK010606,6990,,
6520,WK010607,13120,,
6656,WK010608,9560,,
6740,WK010699,1140,,
6832,WK010910,14400,,
6896,WK010911,990,,
6908,WK010912,160,,
6920,WK010913,90,,
6928,WK010914,120,,
6936,WK010920,5730,,
6980,WK010930,4340,,
7020,WK010940,6870,,
7096,WK010950,3190,,
7152,WK011400,7520,,
7192,WK011401,3690,,
7224,WK011402,830,,
7244,WK011403,8120,,
7272,WK011404,1980,,
7296,WK011405,2080,,
7320,WK011406,4880,,
7340,WK011407,4920,,
7368,WK011408,12020,,
7404,WK011409,3090,,
7420,WK011410,5140,,
7448,WK011411,47610,,
7500,WK011412,2240,,
7508,WK011413,2250,,
7524,WK011421,1330,,
7544,WK011432,1750,,
7564,WK011805,51550,,
7724,WK011806,3100,,
7776,WK011900,27840,,
7860,WK011901,3850,,
7912,WK011902,340,,
7940,WK014000,3970,,
7984,WK014001,1270,,
8024,WK014002,1170,,
8036,WK014003,2880,,
8080,WK014004,1650,,
8128,WK014110,5230,,
8148,WK014111,6720,,
8184,WK014112,5300,,
