ID,WijkenEnBuurten,AantalInwoners_5
1612,WK000300  ,11725
3647,WK001001  ,795
3649,WK001002  ,3510
3655,WK001003  ,2190
3660,WK001004  ,2990
3669,WK001005  ,1505
3673,WK001006  ,5800
3681,WK001007  ,3785
3692,WK001008  ,5
3695,WK001009  ,4140
5820,WK001400  ,22645
5829,WK001401  ,20275
5840,WK001402  ,14560
5845,WK001403  ,18610
5849,WK001404  ,12250
5855,WK001405  ,2700
5868,WK001406  ,19260
5876,WK001407  ,10955
5883,WK001408  ,12135
5897,WK001409  ,16895
5906,WK001410  ,18430
5913,WK001411  ,16195
5922,WK001412  ,16335
5935,WK001413  ,1065
5939,WK001414  ,1510
5947,WK001415  ,5960
5955,WK001416  ,1330
5962,WK001417  ,18425
5969,WK001418  ,1775
9374,WK002400  ,3480
9382,WK002401  ,1630
9387,WK002402  ,2525
9393,WK002403  ,1980
382,WK003401  ,22875
396,WK003402  ,109260
419,WK003403  ,56760
437,WK003404  ,15365
447,WK003405  ,3645
452,WK003406  ,5
13064,WK003701  ,19170
13078,WK003702  ,7005
13083,WK003703  ,2900
13088,WK003704  ,1550
13093,WK003705  ,1165
14572,WK004700  ,19910
14581,WK004701  ,2095
14586,WK004702  ,5485
16593,WK005000  ,22310
125,WK005900  ,11805
136,WK005901  ,3245
143,WK005902  ,12800
672,WK006000  ,3675
6534,WK007200  ,14660
6543,WK007201  ,620
6546,WK007202  ,485
6649,WK007401  ,29175
6661,WK007402  ,1840
6667,WK007403  ,1825
6670,WK007404  ,9225
6678,WK007406  ,1585
6680,WK007407  ,630
6683,WK007409  ,5980
8662,WK008010  ,5280
8671,WK008011  ,8450
8681,WK008020  ,12325
8691,WK008030  ,8025
8699,WK008031  ,3895
8702,WK008032  ,4245
8706,WK008040  ,6560
8711,WK008041  ,3815
8722,WK008050  ,3690
8726,WK008051  ,10605
8732,WK008060  ,6815
8736,WK008061  ,3510
8739,WK008062  ,3060
8750,WK008063  ,8390
8758,WK008070  ,6905
8763,WK008071  ,3170
8765,WK008072  ,5940
8769,WK008073  ,2190
8775,WK008074  ,45
8777,WK008080  ,3830
8786,WK008081  ,3960
8804,WK008082  ,8415
11310,WK008501  ,4755
11322,WK008502  ,1860
11326,WK008503  ,640
11329,WK008504  ,360
11332,WK008505  ,595
11335,WK008506  ,3230
11344,WK008507  ,285
11347,WK008508  ,1030
11350,WK008509  ,270
11353,WK008510  ,1565
11357,WK008511  ,9655
11376,WK008512  ,405
11379,WK008513  ,845
11404,WK008601  ,1910
11408,WK008602  ,3665
11418,WK008604  ,1020
11421,WK008605  ,7360
11430,WK008606  ,770
11433,WK008607  ,295
11436,WK008608  ,1050
11439,WK008609  ,1310
11442,WK008610  ,440
11445,WK008611  ,1680
11448,WK008613  ,825
11451,WK008614  ,1020
11454,WK008615  ,1540
11457,WK008616  ,4805
11465,WK008617  ,2035
12694,WK008800  ,940
12963,WK009000  ,45170
12982,WK009001  ,10765
13666,WK009300  ,2570
13669,WK009301  ,1285
13673,WK009302  ,270
13677,WK009303  ,145
13680,WK009304  ,500
13684,WK009305  ,125
15084,WK009600  ,1135
16046,WK009800  ,12955
16068,WK009801  ,665
16073,WK009802  ,385
16076,WK009803  ,840
16082,WK009804  ,685
16086,WK009805  ,445
16089,WK009806  ,480
16092,WK009807  ,890
16095,WK009808  ,1040
16098,WK009809  ,615
16102,WK009810  ,3565
16112,WK009811  ,535
16115,WK009812  ,305
16117,WK009813  ,885
16120,WK009814  ,500
16123,WK009815  ,1060
1728,WK010600  ,6355
1742,WK010601  ,5490
1749,WK010602  ,8185
1756,WK010603  ,8600
1768,WK010604  ,3700
1773,WK010605  ,4235
1784,WK010606  ,6635
1790,WK010607  ,12180
1809,WK010608  ,11415
1828,WK010699  ,1160
3338,WK010910  ,14380
3354,WK010911  ,920
3357,WK010912  ,195
3360,WK010913  ,75
3362,WK010914  ,115
3364,WK010920  ,5590
3375,WK010930  ,4200
3385,WK010940  ,6655
3404,WK010950  ,3350
4770,WK011401  ,3410
4778,WK011402  ,810
4783,WK011403  ,7710
4790,WK011404  ,1915
4796,WK011405  ,2075
4802,WK011406  ,4760
4807,WK011407  ,4785
4814,WK011408  ,12120
4823,WK011409  ,2980
4827,WK011410  ,4865
4834,WK011413  ,2180
4838,WK011421  ,1255
4843,WK011432  ,1685
4847,WK011440  ,3955
4849,WK011441  ,2810
4852,WK011442  ,5940
4854,WK011443  ,7675
4856,WK011444  ,7245
4858,WK011445  ,1060
4860,WK011446  ,8980
4862,WK011447  ,9440
4864,WK011448  ,2075
4866,WK011449  ,1215
4868,WK011450  ,3080
4870,WK011451  ,1560
4874,WK011452  ,1475
4877,WK011453  ,35
7735,WK011850  ,25150
7745,WK011851  ,14295
7756,WK011852  ,510
7759,WK011853  ,2380
7763,WK011854  ,4475
7767,WK011855  ,2085
7770,WK011856  ,1365
7773,WK011857  ,965
7776,WK011858  ,630
7779,WK011859  ,635
7782,WK011860  ,1835
7787,WK011861  ,600
7789,WK011862  ,745
9750,WK011900  ,5925
9754,WK011901  ,405
9757,WK011902  ,4045
9761,WK011903  ,6270
9766,WK011904  ,3715
9769,WK011905  ,675
9772,WK011906  ,7275
9777,WK011907  ,850
9780,WK011908  ,50
9782,WK011909  ,60
9785,WK011910  ,115
9791,WK011911  ,135
9795,WK011912  ,3715
9806,WK011913  ,320
301,WK014110  ,5420
306,WK014111  ,7040
315,WK014112  ,5505
320,WK014113  ,6235
326,WK014114  ,6665
335,WK014115  ,3105
340,WK014116  ,6980
347,WK014117  ,3585
353,WK014118  ,10910
361,WK014119  ,13975
373,WK014120  ,1560
378,WK014121  ,1870
2786,WK014700  ,20895
2797,WK014701  ,2310
3481,WK014801  ,14620
3501,WK014802  ,9190
3513,WK014803  ,4690
3728,WK015001  ,8080
3736,WK015002  ,2310
3738,WK015003  ,11740
3745,WK015004  ,10710
3753,WK015005  ,5335
3756,WK015006  ,10720
3763,WK015007  ,4935
3770,WK015008  ,6065
3774,WK015009  ,12630
3782,WK015010  ,9240
3793,WK015011  ,4710
3797,WK015012  ,5685
3800,WK015013  ,295
3802,WK015014  ,1695
3806,WK015015  ,5805
4892,WK015300  ,25795
4902,WK015301  ,12475
4910,WK015302  ,22405
4920,WK015303  ,9180
4923,WK015304  ,19685
4931,WK015305  ,8805
4936,WK015306  ,33845
4947,WK015307  ,285
4952,WK015308  ,16900
4962,WK015309  ,9610
6016,WK015800  ,17300
6034,WK015801  ,2700
6039,WK015802  ,1220
6042,WK015803  ,1425
6045,WK015804  ,225
6047,WK015805  ,150
6049,WK015806  ,180
6051,WK015809  ,1045
6348,WK016001  ,550
6351,WK016002  ,155
6353,WK016003  ,45
6355,WK016004  ,3820
6363,WK016005  ,3450
6367,WK016006  ,295
6369,WK016007  ,370
6371,WK016008  ,2235
6377,WK016009  ,12780
6387,WK016010  ,190
6389,WK016011  ,135
6391,WK016012  ,3165
6394,WK016013  ,475
6396,WK016014  ,180
6398,WK016015  ,105
6400,WK016016  ,440
6402,WK016017  ,1485
6405,WK016018  ,185
6407,WK016019  ,2025
6412,WK016020  ,925
6415,WK016021  ,625
6417,WK016022  ,290
6419,WK016023  ,610
6421,WK016024  ,965
6424,WK016025  ,1440
6427,WK016026  ,3080
6432,WK016027  ,110
6434,WK016028  ,19340
6444,WK016029  ,1095
6950,WK016301  ,4255
6957,WK016302  ,1790
6961,WK016303  ,6305
6966,WK016304  ,8915
6975,WK016305  ,5445
6985,WK016306  ,6625
6992,WK016307  ,1125
6994,WK016308  ,580
6996,WK016309  ,765
7125,WK016400  ,2835
7129,WK016401  ,10225
7134,WK016402  ,10060
7140,WK016403  ,12355
7151,WK016404  ,8780
7156,WK016405  ,6940
7164,WK016406  ,9990
7172,WK016407  ,6960
7180,WK016408  ,10600
7187,WK016409  ,1950
8198,WK016600  ,37050
8218,WK016603  ,12365
8227,WK016604  ,745
8230,WK016605  ,880
8233,WK016606  ,1015
8235,WK016607  ,875
8237,WK016608  ,670
8239,WK016609  ,170
9402,WK016800  ,13210
9407,WK016801  ,465
9411,WK016802  ,4115
9414,WK016803  ,3865
9417,WK016804  ,975
10799,WK017101  ,26055
10818,WK017102  ,1415
10822,WK017103  ,2045
10825,WK017104  ,3690
10829,WK017105  ,1435
10834,WK017106  ,3065
10838,WK017107  ,1920
10842,WK017108  ,2470
10846,WK017109  ,1405
10850,WK017110  ,1675
10854,WK017111  ,1670
10858,WK017112  ,5
11079,WK017301  ,2370
11081,WK017302  ,2450
11083,WK017303  ,3675
11085,WK017304  ,1070
11087,WK017305  ,1840
11089,WK017306  ,3665
11091,WK017307  ,65
11093,WK017308  ,200
11095,WK017309  ,105
