ID,WijkenEnBuurten,AfstandTotZiekenhuis_11
1612,WK000300  ,5.6
3647,WK001001  ,0.3
3649,WK001002  ,1.3
3655,WK001003  ,1.4
3660,WK001004  ,3.6
3669,WK001005  ,2.9
3673,WK001006  ,2.2
3681,WK001007  ,8.7
3692,WK001008  ,
3695,WK001009  ,10
5820,WK001400  ,1.1
5829,WK001401  ,1.9
5840,WK001402  ,2.2
5845,WK001403  ,1.8
5849,WK001404  ,0.9
5855,WK001405  ,2
5868,WK001406  ,2.1
5876,WK001407  ,1.1
5883,WK001408  ,5.1
5897,WK001409  ,4.7
5906,WK001410  ,3
5913,WK001411  ,4.5
5922,WK001412  ,3.8
5935,WK001413  ,6.3
5939,WK001414  ,6.7
5947,WK001415  ,10.8
5955,WK001416  ,13.8
5962,WK001417  ,2.7
5969,WK001418  ,6.1
9374,WK002400  ,13
9382,WK002401  ,17.6
9387,WK002402  ,18.1
9393,WK002403  ,13.5
382,WK003401  ,5.6
396,WK003402  ,2.8
419,WK003403  ,6.4
437,WK003404  ,1.2
447,WK003405  ,8.4
452,WK003406  ,
13064,WK003701  ,2.6
13078,WK003702  ,9.2
13083,WK003703  ,9.8
13088,WK003704  ,10.7
13093,WK003705  ,8
14572,WK004700  ,1.6
14581,WK004701  ,4.7
14586,WK004702  ,3.5
16593,WK005000  ,12.9
125,WK005900  ,19.4
136,WK005901  ,14.9
143,WK005902  ,12.4
672,WK006000  ,46.2
6534,WK007200  ,1.5
6543,WK007201  ,3.7
6546,WK007202  ,7.3
6649,WK007401  ,1.8
6661,WK007402  ,6.3
6667,WK007403  ,4.8
6670,WK007404  ,10.7
6678,WK007406  ,2.1
6680,WK007407  ,4.6
6683,WK007409  ,12.3
8662,WK008010  ,2.1
8671,WK008011  ,1.4
8681,WK008020  ,2.8
8691,WK008030  ,3.4
8699,WK008031  ,4.7
8702,WK008032  ,3
8706,WK008040  ,1.5
8711,WK008041  ,2
8722,WK008050  ,3
8726,WK008051  ,4.5
8732,WK008060  ,4.2
8736,WK008061  ,4
8739,WK008062  ,6.8
8750,WK008063  ,10.3
8758,WK008070  ,1.3
8763,WK008071  ,2.6
8765,WK008072  ,3.6
8769,WK008073  ,3.5
8775,WK008074  ,3.6
8777,WK008080  ,7.3
8786,WK008081  ,11
8804,WK008082  ,13
11310,WK008501  ,19.6
11322,WK008502  ,15.7
11326,WK008503  ,22.2
11329,WK008504  ,23
11332,WK008505  ,20.3
11335,WK008506  ,19.9
11344,WK008507  ,23.4
11347,WK008508  ,20
11350,WK008509  ,20.6
11353,WK008510  ,16.9
11357,WK008511  ,20.9
11376,WK008512  ,19.3
11379,WK008513  ,16.5
11404,WK008601  ,13.7
11408,WK008602  ,7.4
11418,WK008604  ,8.3
11421,WK008605  ,12.1
11430,WK008606  ,12.7
11433,WK008607  ,9
11436,WK008608  ,6.9
11439,WK008609  ,12
