ID,WijkenEnBuurten,AfstandTotZiekenhuis_11,AfstandTotZiekenhuis_15
2,WK168000  ,14.7,15.2
5,WK168001  ,14.5,14.8
8,WK168002  ,12.3,12.8
11,WK168003  ,9.5,10
14,WK168004  ,10.5,10.5
17,WK168005  ,13.8,14.3
20,WK168006  ,8.9,12.1
23,WK168007  ,12,15.9
26,WK168008  ,11.4,15
29,WK168009  ,12,16.4
32,WK168011  ,9.1,13
35,WK168012  ,7.2,10
38,WK168013  ,11.2,13.9
41,WK168014  ,10.6,10.6
45,WK168015  ,6.2,6.2
49,WK168016  ,2.3,2.3
53,WK168017  ,13.7,13.7
56,WK168018  ,8.3,8.5
61,WK168019  ,7.5,7.5
68,WK168020  ,12.9,12.9
73,WK168021  ,6.7,6.7
78,WK035800  ,4.6,10.1
83,WK035801  ,5.4,12.5
85,WK035802  ,5.9,6.7
91,WK019701  ,13.3,13.4
104,WK019702  ,8.5,8.5
109,WK019703  ,12,12
117,WK019704  ,17.7,20.5
125,WK005900  ,19.5,19.5
136,WK005901  ,14.9,14.9
143,WK005902  ,12.3,12.3
153,WK048201  ,7.3,7.5
159,WK048202  ,8.4,9.1
166,WK048203  ,8,8.2
174,WK048204  ,7.9,8.1
179,WK048205  ,6.4,6.6
183,WK048206  ,7.9,8.1
189,WK061301  ,6.8,6.8
194,WK061302  ,7.3,7.3
197,WK061303  ,7,7
204,WK061304  ,7,7.1
212,WK061305  ,5,7.3
215,WK061306  ,3.2,4.8
220,WK061307  ,       .,       .
223,WK036101  ,0.8,1.1
234,WK036102  ,3.2,3.2
244,WK036103  ,1.6,2
251,WK036104  ,1.7,2.2
258,WK036105  ,3,3
263,WK036106  ,4.7,4.8
269,WK036107  ,5.9,6.5
276,WK036108  ,1.3,1.3
281,WK036109  ,8.9,9.6
289,WK036110  ,12,12.6
297,WK036111  ,4.7,4.9
301,WK014110  ,3.5,3.5
306,WK014111  ,3,3
314,WK014112  ,4.9,4.9
323,WK014113  ,6.2,6.2
331,WK014114  ,3.3,3.3
340,WK014115  ,2.2,2.2
344,WK014116  ,1.7,1.7
351,WK014117  ,4,4
357,WK014118  ,6.8,6.8
365,WK014119  ,1.5,1.5
378,WK014120  ,6.3,6.3
381,WK014121  ,4.6,4.6
385,WK003401  ,6,6
388,WK003402  ,5.9,5.9
394,WK003403  ,5.5,5.5
399,WK003404  ,6.4,6.4
403,WK003405  ,6,6
408,WK003406  ,4.8,4.8
415,WK003407  ,4.6,4.6
420,WK003408  ,5.8,5.8
424,WK003409  ,6.1,6.5
427,WK003410  ,7.5,7.5
431,WK003411  ,6.1,6.1
434,WK003414  ,4.3,4.3
436,WK003415  ,       .,       .
438,WK003416  ,       .,       .
441,WK003417  ,0.9,0.9
447,WK003418  ,2,2
456,WK003419  ,3.4,3.4
461,WK003420  ,2.4,2.4
467,WK003421  ,2.4,2.4
471,WK003422  ,2.9,2.9
478,WK003423  ,3.5,3.5
483,WK003424  ,4.2,4.2
492,WK003425  ,1.6,1.6
496,WK003426  ,2.6,2.6
506,WK003427  ,2,2
515,WK003428  ,3.7,3.7
526,WK003429  ,2.6,2.6
531,WK003430  ,3.5,4
539,WK003431  ,5.2,5.2
545,WK003432  ,       .,       .
547,WK003434  ,1.6,1.6
551,WK003435  ,       .,       .
554,WK003436  ,       .,       .
556,WK003437  ,4.1,4.1
559,WK003438  ,       .,       .
562,WK003439  ,       .,       .
566,WK003440  ,       .,       .
570,WK003441  ,6,6
573,WK003442  ,8,8
578,WK003443  ,7.2,7.2
583,WK003444  ,6,6
587,WK003445  ,5.1,5.1
593,WK003446  ,4.7,4.7
597,WK003447  ,5.1,5.1
602,WK003448  ,6,6
607,WK003449  ,7.5,7.5
612,WK003450  ,7.7,7.7
